n_samples,estimator,barycenter_type,gamma,mean_rmse,std_rmse
5,log_cumulant,euclidean,0.01,10.068338712963518,7.075236703040282
25,log_cumulant,euclidean,0.01,6.449862333797308,3.5962692556098537
100,log_cumulant,euclidean,0.01,4.0922071653367045,2.4099906866815606
1000,log_cumulant,euclidean,0.01,1.3420538110459481,0.6347097637922862
100000,log_cumulant,euclidean,0.01,0.3752464779244743,0.039794712823375
5,log_cumulant,euclidean,1.0,9.542533527107478,6.98168268748509
25,log_cumulant,euclidean,1.0,6.061963726295554,3.0490526223792975
100,log_cumulant,euclidean,1.0,3.665353778942113,2.0156289577031288
1000,log_cumulant,euclidean,1.0,1.8756293339958845,0.7194517391690748
100000,log_cumulant,euclidean,1.0,0.09621430906914774,0.07395817345323041
5,log_cumulant,euclidean,1000.0,17.19748609202876,5.647923356610215
25,log_cumulant,euclidean,1000.0,16.082866679943415,3.8700678482719284
100,log_cumulant,euclidean,1000.0,14.559733872393092,3.407136356038894
1000,log_cumulant,euclidean,1000.0,13.543860201373903,1.1698962375517865
100000,log_cumulant,euclidean,1000.0,13.732567534700063,0.023274483979259762
5,mle,euclidean,0.01,13.786915657929592,14.652609190180927
25,mle,euclidean,0.01,5.615431110148114,5.201347476474249
100,mle,euclidean,0.01,3.1756028392545845,2.3901129283489517
1000,mle,euclidean,0.01,0.9415340975665745,0.3362763427104776
100000,mle,euclidean,0.01,0.36309303996005166,0.015225568914293507
5,mle,euclidean,1.0,13.448644828276366,14.642313249279994
25,mle,euclidean,1.0,5.237111316076508,4.445752832532071
100,mle,euclidean,1.0,2.807577145282509,2.039200404273317
1000,mle,euclidean,1.0,1.5152912590863301,0.7730660677591235
100000,mle,euclidean,1.0,0.08320803776524308,0.05437577510709854
5,mle,euclidean,1000.0,20.23697205152804,11.231009272698763
25,mle,euclidean,1000.0,16.292003686796637,5.032624480123481
100,mle,euclidean,1000.0,14.387142596269547,2.8858767494841904
1000,mle,euclidean,1000.0,13.46759788641154,0.7532066011579668
100000,mle,euclidean,1000.0,13.741972335127292,0.01975242552902573
5,log_cumulant,wasserstein,0.01,10.616073099462916,7.897836291136469
25,log_cumulant,wasserstein,0.01,6.629539830105491,3.726742306191649
100,log_cumulant,wasserstein,0.01,4.208354839021402,2.4808500422790845
1000,log_cumulant,wasserstein,0.01,1.3229151447891465,0.694006495150574
100000,log_cumulant,wasserstein,0.01,0.27593275275842694,0.04389733893010734
5,log_cumulant,wasserstein,1.0,10.580170094441499,7.9413804469409435
25,log_cumulant,wasserstein,1.0,6.621747437304478,3.7328897957471616
100,log_cumulant,wasserstein,1.0,4.1954420109937205,2.490831903527839
1000,log_cumulant,wasserstein,1.0,1.2764390966033359,0.7366768582212921
100000,log_cumulant,wasserstein,1.0,0.10203647125775084,0.08319051451354932
5,log_cumulant,wasserstein,1000.0,10.73860863039367,7.764516058265411
25,log_cumulant,wasserstein,1000.0,6.693963127876053,3.6792384038457904
100,log_cumulant,wasserstein,1000.0,4.3079927023461675,2.4081937337598713
1000,log_cumulant,wasserstein,1000.0,1.5498672582451871,0.5849233784238529
100000,log_cumulant,wasserstein,1000.0,0.7742615442071699,0.019416765652622837
5,mle,wasserstein,0.01,14.492861469714535,15.500200196892653
25,mle,wasserstein,0.01,5.782065615229797,5.375095322278408
100,mle,wasserstein,0.01,3.234052631889155,2.4639288668419477
1000,mle,wasserstein,0.01,0.9051047622548907,0.37166703651106203
100000,mle,wasserstein,0.01,0.26566848993216696,0.019870370923683562
5,mle,wasserstein,1.0,14.486853339667746,15.502474079855752
25,mle,wasserstein,1.0,5.768913490068137,5.384273690233443
100,mle,wasserstein,1.0,3.193887801436201,2.5044093287926428
1000,mle,wasserstein,1.0,0.8617277108177204,0.39263057648552546
100000,mle,wasserstein,1.0,0.08565418827405723,0.055918571202688026
5,mle,wasserstein,1000.0,14.53466365000494,15.472137391348044
25,mle,wasserstein,1000.0,5.882632125440539,5.305449668434489
100,mle,wasserstein,1000.0,3.394368409972805,2.344355695816665
1000,mle,wasserstein,1000.0,1.179964963073012,0.2917766767856329
100000,mle,wasserstein,1000.0,0.768932768358084,0.006660176058181336
